"Area","Species","Trap_type","Bait","Line","Date","Month","trap_id","Season","Time_taken"
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","",2024-03-11,"March","20139631","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Fresh fruit","",2024-11-29,"November","25336362","Spring",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2022-08-03,"August","13071087","Winter",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-07-25,"July","14313870","Winter",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-07-25,"July","14733464","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","DOC 200","None","",2024-09-29,"September","4731597","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Central-Access",2024-06-14,"June","4904947","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2024-06-01,"June","7288901","Winter",NA
"Predator Free Swanson / Waitakere","Possum","SA Possum","Lure","WT_Road to Bantam Clearing",2024-02-22,"February","23466762","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2024-04-12,"April","4403814","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-04-04,"April","7977061","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Timms","Peanut butter","",2024-04-12,"April","4647393","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2023-02-11,"February","7288901","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","Peanut butter","",2024-05-01,"May","21333835","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-06-09,"June","14779786","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Central-Bluff",2024-04-17,"April","15195675","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","SA Possum","None","WT_Road to Bantam Clearing",2024-05-22,"May","23466762","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit,Goodnature Cinnamon pre feed","WT_Road to Bantam Clearing",2022-12-08,"December","6944521","Summer",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","Dried fruit","Concordia Reserve",2024-05-12,"May","20891967","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","Peanut butter","",2024-07-20,"July","21213373","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Fresh fruit","",2024-03-19,"March","4647393","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-12-21,"December","5917704","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2024-03-21,"March","4403814","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","None","WT_Road to Bantam Clearing",2024-01-24,"January","19262123","Summer",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Central-Access",2024-02-14,"February","13078402","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2022-05-03,"May","6981532","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","None","",2024-10-08,"October","4291344","Spring",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-03-21,"March","14779786","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-05-17,"May","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","Peanut butter","",2024-07-26,"July","21333835","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Fresh fruit","WT_Road to Bantam Clearing",2023-10-17,"October","19262123","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","301",2024-03-15,"March","21981765","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","None","",2024-05-15,"May","4291337","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2022-12-22,"December","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Fresh fruit","",2024-11-29,"November","25336362","Spring",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2024-09-06,"September","4904939","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","WT_Boundary Walk",2021-08-26,"August","4676078","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","Peanut butter","",2025-04-01,"April","7212957","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","Peanut butter","",2024-08-10,"August","4796386","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","None","WT_Road to Bantam Clearing",2023-09-18,"September","19262123","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","301",2024-12-08,"December","21982218","Summer",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit,Goodnature Cinnamon pre feed","WT_Road to Bantam Clearing",2022-11-29,"November","6944521","Spring",NA
"Predator Free Swanson / Waitakere","Hedgehog","Timms","None","",2024-03-16,"March","4828373","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","None","WT_Boundary Walk",2023-06-24,"June","5917704","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","Peanut butter","",2024-10-03,"October","8410437","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","None","",2024-10-30,"October","4291344","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Fresh fruit","",2024-10-04,"October","25336362","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-11-13,"November","21320360","Spring",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Central-Bluff",2024-09-22,"September","15693821","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2024-02-23,"February","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-08-24,"August","4676078","Winter",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-06-17,"June","14313870","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-09-18,"September","13071087","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Timms","Dried fruit","Concordia Reserve",2024-06-10,"June","21980597","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Crisp-Central-Bluff",2024-05-12,"May","23115966","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","None","WT_Road to Bantam Clearing",2024-05-18,"May","21320360","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2023-01-16,"January","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","None","",2024-03-15,"March","4291337","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Timms","Dried fruit","Concordia Reserve",2024-05-21,"May","21980597","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Norway","DOC 200","Peanut butter","",2024-11-13,"November","13042163","Spring",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Central-Access",2024-10-11,"October","4904953","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","",2024-03-16,"March","4403814","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","Concordia Reserve",2024-04-17,"April","14614073","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2022-11-04,"November","6944521","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-03-23,"March","7236973","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Rat trap","None","",2024-05-17,"May","19796666","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2023-03-24,"March","13071087","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Peanut butter","",2024-04-21,"April","19607979","Autumn",NA
"Predator Free Swanson / Waitakere","Hedgehog","DOC 200","None","WT_Boundary Walk",2022-03-10,"March","5012340","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","DOC 200","Peanut butter","Blackman house",2024-02-12,"February","20005857","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-12-19,"December","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Rat","DOC 200","None","WT_Road to Bantam Clearing",2024-04-13,"April","14368904","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","",2025-02-28,"February","4828373","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2023-03-31,"March","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","Goodnature Nut Butter","WT_Road to Bantam Clearing",2024-04-13,"April","21410467","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Crisp-Central-Bluff",2024-10-23,"October","15195675","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","301",2024-08-18,"August","21982044","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","None","",2024-05-15,"May","4291337","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Timms","Fresh fruit","DG-Central-Access",2024-08-13,"August","18786271","Winter",NA
